celula;ap1;ap2
c001;-49.4376467923249;-76.4271448928272
c002;-49.674627999935;-75.9995195727774
c003;-50.1900793135984;-75.5648347394715
c004;-50.8613437659771;-75.1133729773348
c005;-52.6170852229824;-74.442895029442
c006;-54.9440412494288;-73.0590687468521
c007;-56.322967798838;-71.0841809035276
c008;-57.2406470326017;-70.5724440973878
c009;-58.1994633996968;-70.0334101293534
c010;-59.07135137813;-69.4589211987011
c011;-59.9284502459578;-68.8991712884538
c012;-60.7927631151595;-68.2824196237183
c013;-58.7705572545754;-65.7018438678322
c014;-58.7864649205371;-64.5285686415106
c015;-59.5067683604764;-63.8679987143982
c016;-60.2414424826087;-63.1200594961083
c017;-60.93968288473;-62.3835270371073
c018;-61.5749340952953;-61.6105984790825
c019;-62.1574655648192;-61.5390861339689
c020;-64.4143816851485;-67.9352572663005
c021;-68.9462570354378;-68.3559791179957
c022;-69.5004136738463;-67.4526163276789
c023;-70.0303059538624;-66.558073593511
c024;-70.5533834291619;-65.6171195385528
c025;-71.0528233385338;-64.6797066685047
c026;-68.4359849385455;-63.035135646873
c027;-64.0875874462939;-58.8971833128125
c028;-64.5243698503352;-58.2347956772836
c029;-64.9805553264442;-57.7773280609311
c030;-65.3956477205336;-57.4970805883546
c031;-47.4625829814868;-76.3266855640821
c032;-47.8425338429366;-75.9030859846597
c033;-48.476782132995;-75.4528286216647
c034;-49.7255360068832;-74.9145114327487
c035;-52.4246611223064;-74.0841165199599
c036;-53.5498466733198;-73.5526054213249
c037;-55.2169167022368;-71.2961947802819
c038;-56.3896212323449;-70.4153732680663
c039;-57.4767927937819;-69.8314626330181
c040;-58.4593635733926;-69.2757556903555
c041;-59.4031407085174;-68.6707576760893
c042;-60.3261865142736;-68.0390052484368
c043;-58.2516533110173;-65.3675662044673
c044;-58.4223323582265;-64.2660794002011
c045;-59.188929215703;-63.5558111595435
c046;-59.9455467686225;-62.795677601104
c047;-60.6526037080308;-62.0080871476839
c048;-61.3268666792253;-61.205000359925
c049;-61.7152197853009;-65.2446497423558
c050;-62.1612422695495;-67.0861449434164
c051;-67.1280727930613;-67.2881278000558
c052;-69.3384325571234;-66.7174051694583
c053;-69.8813939538706;-65.6825644231564
c054;-70.4019023174329;-64.6047933693089
c055;-70.6225342840799;-63.5471869806304
c056;-62.7560820020185;-63.3104942103193
c057;-63.1509095327807;-59.0537719171624
